01/05/2016	06:00	2.7	87	320	1	0	0	0
01/05/2016	07:00	2.4	89	140	1	0	0	0
01/05/2016	08:00	2.3	89	300	2	20000	0	0
01/05/2016	09:00	2.8	88	310	1	130000	0	0
01/05/2016	10:00	3.4	87	230	1	320000	0	0
01/05/2016	11:00	4.2	85	190	1	630000	0	0
01/05/2016	12:00	3.8	85	290	1	460000	0	0.4
01/05/2016	13:00	3.9	81	300	1	450000	0	0.4
01/05/2016	14:00	3.7	81	310	4	340000	0	0.4
01/05/2016	15:00	1.2	88	0	0	60000	0	0
01/05/2016	16:00	0.7	91	30	1	0	0	0
01/05/2016	17:00	0.9	90	250	1	0	0	0
01/05/2016	18:00	0.5	91	0	0	0	0	0
01/05/2016	19:00	0.5	92	330	2	0	0	0.2
01/05/2016	20:00	0.5	92	0	0	0	0	0
01/05/2016	21:00	0.1	90	0	0	0	0	0
01/05/2016	22:00	-0.4	89	320	1	0	0	0
01/05/2016	23:00	-0.4	89	290	1	0	0	0
01/06/2016	00:00	-0.6	89	330	2	0	0	0
01/06/2016	01:00	-1.3	88	320	2	0	0	0
01/06/2016	02:00	-1.8	88	340	2	0	0	0
01/06/2016	03:00	-2	87	360	1	0	0	0
01/06/2016	04:00	-2.3	86	320	3	0	0	0
01/06/2016	05:00	-2.1	86	330	3	0	0	0
01/06/2016	06:00	-1.7	86	330	3	0	0	0
01/06/2016	07:00	-1.4	87	320	1	0	0	0
01/06/2016	08:00	-1.2	90	0	0	10000	0	0
01/06/2016	09:00	-0.9	91	230	1	30000	0	0
01/06/2016	10:00	-0.7	92	0	0	40000	0	0
01/06/2016	11:00	-0.6	91	0	0	20000	0	0
01/06/2016	12:00	0.3	90	240	2	50000	0	0
01/06/2016	13:00	0.5	88	90	2	40000	0	0
01/06/2016	14:00	1.6	86	0	0	40000	0	0.2
01/06/2016	15:00	2.4	82	0	0	40000	8	0
01/06/2016	16:00	1.5	86	320	1	20000	4	0
01/06/2016	17:00	1	88	0	0	0	0	0
01/06/2016	18:00	0.1	90	340	2	0	0	0
01/06/2016	19:00	0.1	89	330	2	0	0	0
01/06/2016	20:00	0.2	90	340	2	0	0	0
01/06/2016	21:00	0.4	89	310	1	0	0	0
01/06/2016	22:00	0.5	89	320	1	0	0	0
01/06/2016	23:00	0.5	89	320	1	0	0	0
